Symbol,Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Net profit,Cash from operations last year,Interest Coverage Ratio,Debt to equity,Current ratio,Return on assets,Market Capitalization,YOY Quarterly sales growth,YOY Quarterly profit growth,Return on equity,Return on capital employed
TMCV,Tata Motors,544569,TMCV,INE1TAE01010,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,442.9,4187.0,14981.0,14.08,0.44,0.59,7.98,163110.74,19.3,87.0,,
TBOTEK,TBO Tek,544174,TBOTEK,INE673O01025,Leisure Services,"Tour, Travel Related Services",1710.6,264.7,-20.77,7.18,0.49,1.04,3.08,18575.03,81.07,47.12,,
TDPOWERSYS,TD Power Systems,533553,TDPOWERSYS,INE419M01035,Electrical Equipment,Heavy Electrical Equipment,763.75,274.99,129.07,225.94,0.02,1.95,14.74,23863.89,72.1,72.34,,
TECHM,Tech Mahindra,532755,TECHM,INE669C01036,IT - Software,Computers - Software & Consulting,1537.1,5163.0,6172.0,20.6,0.07,1.67,10.68,150656.36,17.68,28.45,,
TIIL,Technocraf.Inds.,532804,TIIL,INE545H01011,Industrial Products,Iron & Steel Products,3054.1,348.49,243.48,8.82,0.41,2.0,9.55,6924.5,27.2,68.38,,
TIMEX,Timex Group,500414,TIMEX,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",714.2,85.79,90.99,23.82,0.95,1.81,26.89,7209.85,29.57,70.55,,
TRAVELFOOD,Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1256.1,486.11,392.97,11.04,0.17,0.8,21.61,16544.11,20.58,38.1,,
TRENT,Trent,500251,TRENT,INE849A01020,Retailing,Speciality Retail,2824.0,1814.7,2667.62,14.63,0.37,1.06,16.34,150584.8,17.84,20.79,,
USHAMART,Usha Martin,517146,USHAMART,INE228A01035,Industrial Products,Iron & Steel Products,507.2,507.54,655.34,42.14,0.07,3.28,11.53,15456.5,16.44,40.67,,
WABAG,Va Tech Wabag,533269,WABAG,INE956G01038,Other Utilities,Water Supply & Management,2132.6,394.2,206.7,8.36,0.09,1.71,6.56,13326.95,20.82,36.93,,
VARROC,Varroc Engineer,541578,VARROC,INE665L01035,Auto Components,Auto Components & Equipments,861.55,200.11,536.8,4.24,0.52,0.86,5.42,13163.31,29.92,27.94,,
VIJAYA,Vijaya Diagnost.,543350,VIJAYA,INE043W01024,Healthcare Services,Healthcare Service Provider,1558.9,187.49,270.59,7.84,0.44,0.76,11.58,16056.31,22.83,37.6,,
WHEELS,Wheels India,590073,WHEELS,INE715A01015,Auto Components,Auto Components & Equipments,2175.7,166.42,477.35,2.9,0.74,0.87,4.71,5315.89,17.82,28.21,,
ABB,A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7270.5,2987.84,1219.52,126.41,0.02,2.19,12.83,154067.98,,,22.39,29.93
ABSLAMC,Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1060.4,1007.44,811.93,270.6,0.02,1.34,22.91,30683.58,,,25.15,32.23
ALKEM,Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5466.5,2204.23,1963.03,18.23,0.15,2.4,12.92,65360.21,,,18.89,21.24
ANTHEM,Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,928.5,575.95,844.49,131.79,0.02,3.49,19.48,52305.97,,,22.28,30.37
BEL,Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,393.3,6147.74,1541.37,1267.64,0.0,1.98,14.14,287493.6,,,27.45,36.44
BLUEJET,Blue Jet Health,544009,BLUEJET,INE0KBH01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,575.25,234.91,334.15,51.82,0.03,3.21,15.77,10888.08,,,19.35,26.07
COALINDIA,Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,409.9,31186.22,43214.6,33.8,0.12,1.8,11.46,252610.23,,,28.16,34.97
COLPAL,Colgate-Palmoliv,500830,COLPAL,INE259A01022,Personal Products,Personal Care,1917.8,1347.77,1806.3,485.87,0.03,1.28,41.82,52161.4,,,82.73,108.02
CUMMINSIND,Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",5099.5,2367.15,1734.26,233.97,0.0,2.69,22.58,141358.14,,,30.24,39.5
DATAPATTNS,Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4513.3,267.93,80.15,29.87,0.0,8.11,13.12,25267.24,,,15.24,21.92
